run_accession	experiment_alias	experiment_title	fastq_ftp	fastq_md5	fastq_bytes	submitted_ftp
SRR10471591	GSM4169227	Illumina HiSeq 4000 sequencing: GSM4169227: 170606_NDARKD326LNK_hs_58yr_BA10_pool_2087_AD002_indexed Homo sapiens OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/091/SRR10471591/SRR10471591_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/091/SRR10471591/SRR10471591_2.fastq.gz	b8abdc05d196abade065fde8aecc96ed;9e408a32348f430f79d7bc91f766c1df	367545932;402961807	
SRR10472765	GSM4167373	Illumina NovaSeq 6000 sequencing: GSM4167373: 190321_mCTseq_hs_29yr_BA10_UMB5580_5_UMB5580_6_C8_AD004_indexed Homo sapiens OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/065/SRR10472765/SRR10472765_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/065/SRR10472765/SRR10472765_2.fastq.gz	6869c4556ce9863ea77a0278517f3a58;3a5c8f0cddf896a94984ed3a8b7a2b01	139687866;150715565	
SRR10471593	GSM4169229	Illumina HiSeq 4000 sequencing: GSM4169229: 170606_NDARKD326LNK_hs_58yr_BA10_pool_2088_AD002_indexed Homo sapiens OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/093/SRR10471593/SRR10471593_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/093/SRR10471593/SRR10471593_2.fastq.gz	fc8311d2aceb299c87c74fbdc6c46d76;c4e08756cab1a076afa816ac3b5c43d3	425661895;461884434	
SRR10471274	GSM4164064	Illumina NovaSeq 6000 sequencing: GSM4164064: 190305_mCTseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_H11_AD004_indexed Homo sapiens OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/074/SRR10471274/SRR10471274_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/074/SRR10471274/SRR10471274_2.fastq.gz	6e93fef2224ab636a6dc9de6f1c91180;e44eccdf8f274d2cc4ece06492848c79	135778077;146036198	
SRR10472766	GSM4167374	Illumina NovaSeq 6000 sequencing: GSM4167374: 190321_mCTseq_hs_29yr_BA10_UMB5580_5_UMB5580_6_C8_AD006_indexed Homo sapiens OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/066/SRR10472766/SRR10472766_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/066/SRR10472766/SRR10472766_2.fastq.gz	06ca47c980288e963f40f8807f011ab1;b50a3d4889f545edaa4a76c516e4675c	156048626;171105725	
SRR10472773	GSM4167381	Illumina NovaSeq 6000 sequencing: GSM4167381: 190321_mCTseq_hs_29yr_BA10_UMB5580_5_UMB5580_6_C9_AD004_indexed Homo sapiens OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/073/SRR10472773/SRR10472773_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/073/SRR10472773/SRR10472773_2.fastq.gz	64f656756890d539de87919f894a11e7;cfde8521b6270e00fa44e25778d09658	191878534;205116403	
SRR10471594	GSM4169230	Illumina HiSeq 4000 sequencing: GSM4169230: 170606_NDARKD326LNK_hs_58yr_BA10_pool_2088_AD006_indexed Homo sapiens OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/094/SRR10471594/SRR10471594_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/094/SRR10471594/SRR10471594_2.fastq.gz	e565673ff6c119c23307b8e43f7fcbcd;bbb81b495f8add83080805648516b33d	579668298;623716386	
SRR10471277	GSM4164499	Illumina NovaSeq 6000 sequencing: GSM4164499: 190305_mCTseq_hs_29yr_BA10_UMB5580_1_UMB5580_2_D8_AD006_indexed Homo sapiens OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/077/SRR10471277/SRR10471277_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/077/SRR10471277/SRR10471277_2.fastq.gz	283749491cb1c4e1691ce7b168df4774;8668607b71d919884440ca3d6800f635	196160723;211418110	
SRR10471595	GSM4169231	Illumina HiSeq 4000 sequencing: GSM4169231: 170606_NDARKD326LNK_hs_58yr_BA10_pool_2088_AD008_indexed Homo sapiens OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/095/SRR10471595/SRR10471595_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/095/SRR10471595/SRR10471595_2.fastq.gz	501e34a9b7a6312b90935dd4311bfd98;bc211fed80439f4f793cc31b08fd6820	478937000;516462330	
SRR10472778	GSM4167386	Illumina NovaSeq 6000 sequencing: GSM4167386: 190321_mCTseq_hs_29yr_BA10_UMB5580_5_UMB5580_6_C9_AD012_indexed Homo sapiens OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/078/SRR10472778/SRR10472778_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/078/SRR10472778/SRR10472778_2.fastq.gz	e50089426bc7f5eabc58ff15d304598e;5dc7bcb93ed7547cc5889bdb6873a735	131840313;140767296	
SRR10471278	GSM4164500	Illumina NovaSeq 6000 sequencing: GSM4164500: 190305_mCTseq_hs_29yr_BA10_UMB5580_1_UMB5580_2_D8_AD007_indexed Homo sapiens OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/078/SRR10471278/SRR10471278_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/078/SRR10471278/SRR10471278_2.fastq.gz	17ff8d6e0e83aa5bf7848e8cfeb9cf0c;77dc8de6a90026970ba3f64cbcf636be	180463562;193755611	
SRR10471602	GSM4169238	Illumina HiSeq 4000 sequencing: GSM4169238: 170606_NDARKD326LNK_hs_58yr_BA10_pool_2090_AD008_indexed Homo sapiens OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/002/SRR10471602/SRR10471602_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/002/SRR10471602/SRR10471602_2.fastq.gz	fd5c6c778925d83dc8c735a9ee886d8b;60a0c758ab66c4f9b2a9ccd7f4adaf6e	250144624;269727648	
SRR10471603	GSM4169239	Illumina HiSeq 4000 sequencing: GSM4169239: 170606_NDARKD326LNK_hs_58yr_BA10_pool_2090_AD010_indexed Homo sapiens OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/003/SRR10471603/SRR10471603_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/003/SRR10471603/SRR10471603_2.fastq.gz	f2c27f0e026d1029f9ed2c6edf14e9de;aa786c5bd55d6d86b9be0c883a3f3a56	264108817;280276513	
SRR10472779	GSM4167387	Illumina NovaSeq 6000 sequencing: GSM4167387: 190321_mCTseq_hs_29yr_BA10_UMB5580_5_UMB5580_6_D10_AD001_indexed Homo sapiens OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/079/SRR10472779/SRR10472779_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/079/SRR10472779/SRR10472779_2.fastq.gz	152d8fb8b8cb94b22a52b73d5eec7d06;604d5a5b049f0647c52e4316458d23ab	79540319;86596315	
