dataset	sample	HCG_n	GCH_n
snmCAT	SRR10471377	1057819	5822866
snmCAT	SRR10471378	1405491	7622768
snmCAT	SRR10471379	1743052	9640359
snmCAT	SRR10471381	1862359	10278846
snmCAT	SRR10471382	1620764	8845369
snmCAT	SRR10471384	1362933	7541949
snmCAT	SRR10471388	1265404	7030274
snmCAT	SRR10471389	1504387	8238634
snmCAT	SRR10471393	971940	5371897
snmCAT	SRR10471397	1098591	6129701
snmCAT	SRR10471398	1314606	7177500
snmCAT	SRR10471400	1250158	6820261
snmCAT	SRR10471401	1269896	7006328
snmCAT	SRR10471402	1224566	6661563
snmCAT	SRR10471404	1678916	9209335
snmCAT	SRR10471405	968104	5534248
snmCAT	SRR10471408	1134626	6368745
snmCAT	SRR10471410	1580168	8508707
snmCAT	SRR10471411	1563715	8731807
snmCAT	SRR10471412	479129	2995202
snmCAT	SRR10471413	1852451	10182752
snmCAT	SRR10471417	1449238	8021675
snmCAT	SRR10471420	1727066	9625092
snmCAT	SRR10471421	1310676	7269125
snmCAT	SRR10471426	1487418	8216044
snmCAT	SRR10471428	575020	3157483
snmCAT	SRR10471432	1696215	9491660
snmCAT	SRR10471434	1572259	8529079
snmCAT	SRR10471444	1358819	7529857
snmCAT	SRR10471445	1343277	7286035
snmCAT	SRR10471448	1461941	8100715
snmCAT	SRR10471449	1336983	7357381
snmCAT	SRR10471451	1331821	7442554
snmCAT	SRR10471452	1199950	6625888
snmCAT	SRR10471453	1255058	6823048
snmCAT	SRR10471454	1408803	7942527
snmCAT	SRR10471455	1237586	6952243
snmCAT	SRR10471456	1285331	7157173
snmCAT	SRR10471457	1383859	7596726
snmCAT	SRR10471461	1238730	6710121
snmCAT	SRR10471464	1548912	8712471
scnomehic	scNH_GM_4plex_10_S9.ATCACG	2232322	14731161
scnomehic	scNH_GM_4plex_10_S9.CGATGT	785572	5144116
scnomehic	scNH_GM_4plex_10_S9.GCCAAT	1235761	8277863
scnomehic	scNH_GM_4plex_10_S9.TGACCA	1889238	12635871
scnomehic	scNH_GM_4plex_11_S10.ATCACG	1263417	8138992
scnomehic	scNH_GM_4plex_11_S10.CGATGT	1047604	6714908
scnomehic	scNH_GM_4plex_11_S10.GCCAAT	939840	6260706
scnomehic	scNH_GM_4plex_11_S10.TGACCA	1627738	10957823
scnomehic	scNH_GM_4plex_12_S11.ATCACG	1402937	9045866
scnomehic	scNH_GM_4plex_12_S11.CGATGT	1512031	9992839
scnomehic	scNH_GM_4plex_12_S11.GCCAAT	1318274	8845697
scnomehic	scNH_GM_4plex_12_S11.TGACCA	2129852	14199204
scnomehic	scNH_GM_4plex_13_S12.ATCACG	1094254	7074079
scnomehic	scNH_GM_4plex_13_S12.CGATGT	618135	4095397
scnomehic	scNH_GM_4plex_13_S12.GCCAAT	1615366	10770347
scnomehic	scNH_GM_4plex_13_S12.TGACCA	1410014	9398614
scnomehic	scNH_GM_4plex_14_S13.ATCACG	1265549	8121167
scnomehic	scNH_GM_4plex_14_S13.CGATGT	787556	5169824
scnomehic	scNH_GM_4plex_14_S13.GCCAAT	1948997	12823205
scnomehic	scNH_GM_4plex_14_S13.TGACCA	1909468	12867738
scnomehic	scNH_GM_4plex_15_S14.ATCACG	977223	6373494
scnomehic	scNH_GM_4plex_15_S14.CGATGT	489888	3221407
scnomehic	scNH_GM_4plex_15_S14.GCCAAT	2161098	14718975
scnomehic	scNH_GM_4plex_15_S14.TGACCA	2178006	14908865
scnomehic	scNH_GM_4plex_16_S15.ATCACG	1148500	7402499
scnomehic	scNH_GM_4plex_16_S15.CGATGT	1252608	8246936
scnomehic	scNH_GM_4plex_16_S15.GCCAAT	2386358	16090677
scnomehic	scNH_GM_4plex_16_S15.TGACCA	1058736	6882597
scnomehic	scNH_GM_4plex_17_S16.ATCACG	792324	5244118
scnomehic	scNH_GM_4plex_17_S16.CGATGT	1224021	7917368
scnomehic	scNH_GM_4plex_17_S16.GCCAAT	1177831	7890495
scnomehic	scNH_GM_4plex_17_S16.TGACCA	1929969	12688545
scnomehic	scNH_GM_4plex_18_S17.ATCACG	2176743	14529816
scnomehic	scNH_GM_4plex_18_S17.CGATGT	1188098	7671199
scnomehic	scNH_GM_4plex_18_S17.GCCAAT	1726951	11469828
scnomehic	scNH_GM_4plex_18_S17.TGACCA	1651186	11040560
scnomehic	scNH_GM_4plex_19_S18.ATCACG	822652	5381443
scnomehic	scNH_GM_4plex_19_S18.CGATGT	1141341	7496566
scnomehic	scNH_GM_4plex_19_S18.GCCAAT	927628	5961640
scnomehic	scNH_GM_4plex_19_S18.TGACCA	887953	5916582
scnomehic	scNH_GM_4plex_1_S1.ATCACG	2053268	13700790
scnomehic	scNH_GM_4plex_1_S1.CGATGT	568114	3758571
scnomehic	scNH_GM_4plex_1_S1.GCCAAT	1110594	7432598
scnomehic	scNH_GM_4plex_1_S1.TGACCA	964576	6239697
scnomehic	scNH_GM_4plex_20_S19.ATCACG	1581854	10368905
scnomehic	scNH_GM_4plex_20_S19.CGATGT	1193300	7886831
scnomehic	scNH_GM_4plex_20_S19.GCCAAT	2190066	14705857
scnomehic	scNH_GM_4plex_20_S19.TGACCA	1552813	10170376
scnomehic	scNH_GM_4plex_21_S20.ATCACG	1727936	11474029
scnomehic	scNH_GM_4plex_21_S20.CGATGT	637392	4187023
scnomehic	scNH_GM_4plex_21_S20.GCCAAT	956916	6355713
scnomehic	scNH_GM_4plex_21_S20.TGACCA	1046410	6801482
scnomehic	scNH_GM_4plex_22_S21.ATCACG	807954	5292600
scnomehic	scNH_GM_4plex_22_S21.CGATGT	738777	4838881
scnomehic	scNH_GM_4plex_22_S21.GCCAAT	1192064	7848936
scnomehic	scNH_GM_4plex_23_S22.ATCACG	1494547	9887085
scnomehic	scNH_GM_4plex_23_S22.CGATGT	976694	6281038
scnomehic	scNH_GM_4plex_23_S22.GCCAAT	1692152	10971738
scnomehic	scNH_GM_4plex_23_S22.TGACCA	1949749	12905856
scnomehic	scNH_GM_4plex_24_S23.ATCACG	995284	6457835
scnomehic	scNH_GM_4plex_24_S23.CGATGT	1530566	10093171
scnomehic	scNH_GM_4plex_24_S23.GCCAAT	1694872	11005812
scnomehic	scNH_GM_4plex_24_S23.TGACCA	1673248	10767083
scnomehic	scNH_GM_4plex_25_S24.ATCACG	915742	6125828
scnomehic	scNH_GM_4plex_25_S24.CGATGT	893194	5695919
scnomehic	scNH_GM_4plex_25_S24.GCCAAT	1408900	9240090
scnomehic	scNH_GM_4plex_25_S24.TGACCA	1671015	11298744
scnomehic	scNH_GM_4plex_26_S25.ATCACG	1400451	9176469
scnomehic	scNH_GM_4plex_26_S25.CGATGT	989542	6372491
scnomehic	scNH_GM_4plex_26_S25.GCCAAT	1709803	11480503
scnomehic	scNH_GM_4plex_26_S25.TGACCA	857092	5703112
scnomehic	scNH_GM_4plex_27_S26.ATCACG	970492	6480373
scnomehic	scNH_GM_4plex_27_S26.CGATGT	1104045	7133840
scnomehic	scNH_GM_4plex_27_S26.GCCAAT	881097	5907063
scnomehic	scNH_GM_4plex_27_S26.TGACCA	1589304	10719558
scnomehic	scNH_GM_4plex_28_S27.ATCACG	1433771	9596450
scnomehic	scNH_GM_4plex_28_S27.CGATGT	601278	3932359
scnomehic	scNH_GM_4plex_28_S27.GCCAAT	683207	4522904
scnomehic	scNH_GM_4plex_28_S27.TGACCA	1496474	10024293
scnomehic	scNH_GM_4plex_29_S28.ATCACG	1597413	10700662
scnomehic	scNH_GM_4plex_29_S28.CGATGT	517395	3397199
scnomehic	scNH_GM_4plex_29_S28.GCCAAT	1000996	6480077
scnomehic	scNH_GM_4plex_29_S28.TGACCA	1681977	11295938
scnomehic	scNH_GM_4plex_2_S2.ATCACG	1206721	7957026
scnomehic	scNH_GM_4plex_2_S2.CGATGT	701730	4629767
scnomehic	scNH_GM_4plex_2_S2.GCCAAT	1414065	9312810
scnomehic	scNH_GM_4plex_2_S2.TGACCA	1713520	11529742
scnomehic	scNH_GM_4plex_30_S29.ATCACG	868840	5757892
scnomehic	scNH_GM_4plex_30_S29.CGATGT	1153030	7613453
scnomehic	scNH_GM_4plex_30_S29.GCCAAT	843191	5647511
scnomehic	scNH_GM_4plex_30_S29.TGACCA	1336448	8703857
scnomehic	scNH_GM_4plex_31_S30.ATCACG	817452	5468939
scnomehic	scNH_GM_4plex_31_S30.CGATGT	1106565	7160602
scnomehic	scNH_GM_4plex_31_S30.GCCAAT	1778903	12028270
scnomehic	scNH_GM_4plex_31_S30.TGACCA	1883696	12776667
scnomehic	scNH_GM_4plex_32_S31.ATCACG	1029652	6848272
scnomehic	scNH_GM_4plex_32_S31.CGATGT	1335292	8852338
scnomehic	scNH_GM_4plex_32_S31.GCCAAT	1605140	10586924
scnomehic	scNH_GM_4plex_32_S31.TGACCA	988440	6625529
scnomehic	scNH_GM_4plex_33_S32.ATCACG	1260632	8230124
scnomehic	scNH_GM_4plex_33_S32.CGATGT	736211	4760830
scnomehic	scNH_GM_4plex_33_S32.GCCAAT	591472	3950924
scnomehic	scNH_GM_4plex_33_S32.TGACCA	794871	5320674
scnomehic	scNH_GM_4plex_34_S33.ATCACG	1104566	7299133
scnomehic	scNH_GM_4plex_34_S33.CGATGT	1162354	7537574
scnomehic	scNH_GM_4plex_34_S33.GCCAAT	1664142	10935739
scnomehic	scNH_GM_4plex_34_S33.TGACCA	973112	6522979
scnomehic	scNH_GM_4plex_35_S34.ATCACG	1549137	10208276
scnomehic	scNH_GM_4plex_35_S34.CGATGT	795819	5275218
scnomehic	scNH_GM_4plex_35_S34.GCCAAT	1729281	11657587
scnomehic	scNH_GM_4plex_35_S34.TGACCA	2574547	17640289
scnomehic	scNH_GM_4plex_36_S35.ATCACG	1824024	12239651
scnomehic	scNH_GM_4plex_36_S35.CGATGT	698420	4603211
scnomehic	scNH_GM_4plex_36_S35.GCCAAT	1172480	7825863
scnomehic	scNH_GM_4plex_36_S35.TGACCA	2104873	14277360
scnomehic	scNH_GM_4plex_37_S36.ATCACG	1795783	11961620
scnomehic	scNH_GM_4plex_37_S36.CGATGT	912562	5964730
scnomehic	scNH_GM_4plex_37_S36.GCCAAT	1135938	7342079
scnomehic	scNH_GM_4plex_37_S36.TGACCA	791245	5289047
scnomehic	scNH_GM_4plex_38_S37.ATCACG	3130718	21304688
scnomehic	scNH_GM_4plex_38_S37.CGATGT	706666	4681457
scnomehic	scNH_GM_4plex_38_S37.GCCAAT	2078383	14133114
scnomehic	scNH_GM_4plex_38_S37.TGACCA	1063960	7019872
scnomehic	scNH_GM_4plex_39_S38.ATCACG	863059	5809461
scnomehic	scNH_GM_4plex_39_S38.CGATGT	1147749	7623622
scnomehic	scNH_GM_4plex_39_S38.GCCAAT	1639119	11102862
scnomehic	scNH_GM_4plex_39_S38.TGACCA	1372202	9064186
scnomehic	scNH_GM_4plex_40_S39.ATCACG	887395	5940197
scnomehic	scNH_GM_4plex_40_S39.CGATGT	1801667	11944350
scnomehic	scNH_GM_4plex_40_S39.GCCAAT	1060337	7109755
scnomehic	scNH_GM_4plex_40_S39.TGACCA	2442153	16304165
scnomehic	scNH_GM_4plex_41_S40.ATCACG	886381	5723321
scnomehic	scNH_GM_4plex_41_S40.CGATGT	1705614	11434391
scnomehic	scNH_GM_4plex_41_S40.GCCAAT	780619	5106600
scnomehic	scNH_GM_4plex_41_S40.TGACCA	845495	5676142
scnomehic	scNH_GM_4plex_42_S41.ATCACG	1745175	11780068
scnomehic	scNH_GM_4plex_42_S41.CGATGT	2148345	14454302
scnomehic	scNH_GM_4plex_42_S41.GCCAAT	1638379	11153349
scnomehic	scNH_GM_4plex_42_S41.TGACCA	995112	6651817
scnomehic	scNH_GM_4plex_43_S42.ATCACG	1394115	9236784
scnomehic	scNH_GM_4plex_43_S42.CGATGT	1196306	7827891
scnomehic	scNH_GM_4plex_43_S42.GCCAAT	1399656	9181441
scnomehic	scNH_GM_4plex_43_S42.TGACCA	1406826	9270277
scnomehic	scNH_GM_4plex_44_S43.ATCACG	1717452	11359103
scnomehic	scNH_GM_4plex_44_S43.CGATGT	662782	4304531
scnomehic	scNH_GM_4plex_44_S43.GCCAAT	1542930	10245588
scnomehic	scNH_GM_4plex_44_S43.TGACCA	735171	4904520
scnomehic	scNH_GM_4plex_45_S44.ATCACG	1073440	7142510
scnomehic	scNH_GM_4plex_45_S44.CGATGT	1450110	9590086
scnomehic	scNH_GM_4plex_45_S44.GCCAAT	1726331	11510198
scnomehic	scNH_GM_4plex_45_S44.TGACCA	1929604	12894733
scnomehic	scNH_GM_4plex_46_S45.ATCACG	1518466	10163105
scnomehic	scNH_GM_4plex_46_S45.CGATGT	559545	3682587
scnomehic	scNH_GM_4plex_46_S45.GCCAAT	848246	5636128
scnomehic	scNH_GM_4plex_46_S45.TGACCA	3125194	21217532
scnomehic	scNH_GM_4plex_47_S46.ATCACG	1450167	9457090
scnomehic	scNH_GM_4plex_47_S46.CGATGT	895082	5831235
scnomehic	scNH_GM_4plex_47_S46.GCCAAT	2274531	15446610
scnomehic	scNH_GM_4plex_47_S46.TGACCA	1116827	7480791
scnomehic	scNH_GM_4plex_48_S47.ATCACG	1257120	8346741
scnomehic	scNH_GM_4plex_48_S47.CGATGT	989573	6389188
scnomehic	scNH_GM_4plex_48_S47.GCCAAT	982984	6549848
scnomehic	scNH_GM_4plex_48_S47.TGACCA	1639024	10800766
scnomehic	scNH_GM_4plex_4_S3.ATCACG	1246979	8290904
scnomehic	scNH_GM_4plex_4_S3.CGATGT	725796	4781679
scnomehic	scNH_GM_4plex_4_S3.GCCAAT	1611065	10570442
scnomehic	scNH_GM_4plex_4_S3.TGACCA	1115630	7246684
scnomehic	scNH_GM_4plex_5_S4.ATCACG	1262643	8460780
scnomehic	scNH_GM_4plex_5_S4.CGATGT	562069	3714493
scnomehic	scNH_GM_4plex_5_S4.GCCAAT	799351	5312330
scnomehic	scNH_GM_4plex_5_S4.TGACCA	776627	5067712
scnomehic	scNH_GM_4plex_6_S5.ATCACG	748418	4964165
scnomehic	scNH_GM_4plex_6_S5.CGATGT	1769466	11815955
scnomehic	scNH_GM_4plex_6_S5.GCCAAT	1835735	12122119
scnomehic	scNH_GM_4plex_6_S5.TGACCA	1432314	9688002
scnomehic	scNH_GM_4plex_7_S6.ATCACG	1357729	9049541
scnomehic	scNH_GM_4plex_7_S6.CGATGT	812062	5351178
scnomehic	scNH_GM_4plex_7_S6.GCCAAT	1493587	9671455
scnomehic	scNH_GM_4plex_7_S6.TGACCA	1083451	7270328
scnomehic	scNH_GM_4plex_8_S7.ATCACG	1473354	9643668
scnomehic	scNH_GM_4plex_8_S7.CGATGT	1262237	8323041
scnomehic	scNH_GM_4plex_8_S7.GCCAAT	1534709	10167229
scnomehic	scNH_GM_4plex_8_S7.TGACCA	951774	6381470
scnomehic	scNH_GM_4plex_9_S8.ATCACG	1468271	9776389
scnomehic	scNH_GM_4plex_9_S8.CGATGT	1649658	10889816
scnomehic	scNH_GM_4plex_9_S8.GCCAAT	1328597	8693751
scnomehic	scNH_GM_4plex_9_S8.TGACCA	1236180	8129513
