dataset,cell,uniq_preDedup,uniq_postDedup,rate_preDedup,rate_postDedup
scnomehic,scNH_GM_4plex_15_S14.CGATGT,1577055,887872,71.746,60.176
scnomehic,scNH_GM_4plex_21_S20.GCCAAT,4680084,2326898,67.497,52.065
scnomehic,scNH_GM_4plex_21_S20.ATCACG,7303289,3437562,76.359,63.088
scnomehic,scNH_GM_4plex_19_S18.CGATGT,3485891,1851699,78.219,68.255
scnomehic,scNH_GM_4plex_15_S14.GCCAAT,6554262,3499884,82.733,74.879
scnomehic,scNH_GM_4plex_24_S23.TGACCA,9310777,3608953,76.326,59.511
scnomehic,scNH_GM_4plex_29_S28.TGACCA,4418190,2628585,81.405,74.534
scnomehic,scNH_GM_4plex_12_S11.GCCAAT,7153128,3186057,72.029,55.164
scnomehic,scNH_GM_4plex_37_S36.CGATGT,2805504,1586737,74.742,64.692
scnomehic,scNH_GM_4plex_19_S18.GCCAAT,3166549,1794701,69.19,57.34
scnomehic,scNH_GM_4plex_11_S10.GCCAAT,3705852,2137977,65.068,52.641
scnomehic,scNH_GM_4plex_30_S29.CGATGT,3970970,2026128,76.887,65.565
scnomehic,scNH_GM_4plex_35_S34.TGACCA,9736236,4607118,82.945,73.456
scnomehic,scNH_GM_4plex_34_S33.GCCAAT,5922167,3126019,75.073,63.595
scnomehic,scNH_GM_4plex_1_S1.ATCACG,7120556,3358041,83.407,73.749
scnomehic,scNH_GM_4plex_4_S3.GCCAAT,7204386,3163442,78.756,65.451
scnomehic,scNH_GM_4plex_31_S30.TGACCA,6231011,3235985,80.152,70.827
scnomehic,scNH_GM_4plex_31_S30.ATCACG,2861565,1593422,71.483,59.822
scnomehic,scNH_GM_4plex_46_S45.CGATGT,1951443,1105732,68.834,56.861
scnomehic,scNH_GM_4plex_42_S41.ATCACG,5926237,3171249,78.101,67.98
scnomehic,scNH_GM_4plex_26_S25.GCCAAT,6673380,3309954,76.846,64.831
scnomehic,scNH_GM_4plex_40_S39.TGACCA,8841705,4210671,82.228,72.432
scnomehic,scNH_GM_4plex_10_S9.ATCACG,9499213,4193578,80.016,67.279
scnomehic,scNH_GM_4plex_29_S28.GCCAAT,2777590,1747279,71.967,62.934
scnomehic,scNH_GM_4plex_2_S2.TGACCA,7221311,3317713,78.852,66.3
scnomehic,scNH_GM_4plex_14_S13.TGACCA,11116237,4160297,79.731,64.368
scnomehic,scNH_GM_4plex_12_S11.CGATGT,7195528,2948320,79.536,65.149
scnomehic,scNH_GM_4plex_41_S40.ATCACG,3063410,1735206,69.443,57.249
scnomehic,scNH_GM_4plex_12_S11.ATCACG,6366415,2805306,77.254,63.112
scnomehic,scNH_GM_4plex_41_S40.CGATGT,5531388,2800359,81.962,72.74
scnomehic,scNH_GM_4plex_17_S16.TGACCA,6651187,3166663,82.163,72.024
scnomehic,scNH_GM_4plex_9_S8.GCCAAT,5246050,2621519,73.739,60.343
scnomehic,scNH_GM_4plex_13_S12.CGATGT,2142423,1173405,71.889,59.956
scnomehic,scNH_GM_4plex_8_S7.GCCAAT,5692911,2825497,77.2,65.18
scnomehic,scNH_GM_4plex_28_S27.TGACCA,5170566,2808880,75.196,64.689
scnomehic,scNH_GM_4plex_28_S27.GCCAAT,2863278,1725928,60.79,47.613
scnomehic,scNH_GM_4plex_30_S29.GCCAAT,3328046,1828311,69.1,56.338
scnomehic,scNH_GM_4plex_22_S21.CGATGT,3003384,1569386,68.02,54.081
scnomehic,scNH_GM_4plex_8_S7.ATCACG,5471377,2838977,73.474,60.584
scnomehic,scNH_GM_4plex_9_S8.CGATGT,6012090,2776773,81.943,71.031
scnomehic,scNH_GM_4plex_36_S35.TGACCA,8461751,4050710,78.665,67.367
scnomehic,scNH_GM_4plex_28_S27.ATCACG,4854357,2700629,74.301,63.561
scnomehic,scNH_GM_4plex_6_S5.TGACCA,4545893,2478477,77.373,67.78
scnomehic,scNH_GM_4plex_38_S37.TGACCA,4222634,2143779,72.187,59.169
scnomehic,scNH_GM_4plex_43_S42.CGATGT,4288239,2269497,73.413,61.47
scnomehic,scNH_GM_4plex_25_S24.ATCACG,3458234,1930668,69.524,56.79
scnomehic,scNH_GM_4plex_46_S45.GCCAAT,3082641,1764314,68.528,56.759
scnomehic,scNH_GM_4plex_2_S2.GCCAAT,5652937,2617248,78.215,65.515
scnomehic,scNH_GM_4plex_38_S37.ATCACG,11559396,5515455,84.136,75.194
scnomehic,scNH_GM_4plex_34_S33.ATCACG,4125416,2241971,71.502,59.37
scnomehic,scNH_GM_4plex_27_S26.TGACCA,5164502,2879311,76.331,66.692
scnomehic,scNH_GM_4plex_37_S36.ATCACG,5290472,2940451,80.569,72.327
scnomehic,scNH_GM_4plex_14_S13.CGATGT,4823062,1927152,71.88,53.294
scnomehic,scNH_GM_4plex_39_S38.TGACCA,4064123,2205054,79.535,70.439
scnomehic,scNH_GM_4plex_43_S42.GCCAAT,5168885,2839518,71.19,58.958
scnomehic,scNH_GM_4plex_44_S43.GCCAAT,5307955,2936558,76.064,66.167
scnomehic,scNH_GM_4plex_48_S47.CGATGT,3421493,1806620,73.395,61.106
scnomehic,scNH_GM_4plex_25_S24.GCCAAT,4873971,2607790,74.603,62.713
scnomehic,scNH_GM_4plex_24_S23.CGATGT,8632739,3204907,79.302,63.508
scnomehic,scNH_GM_4plex_23_S22.ATCACG,5701476,2793886,77.201,64.876
scnomehic,scNH_GM_4plex_26_S25.TGACCA,3542190,1844570,69.723,56.205
scnomehic,scNH_GM_4plex_22_S21.ATCACG,3317923,1786279,67.009,53.246
scnomehic,scNH_GM_4plex_24_S23.ATCACG,5991210,2523381,70.227,51.826
scnomehic,scNH_GM_4plex_5_S4.CGATGT,1950653,1112233,67.917,55.668
scnomehic,scNH_GM_4plex_23_S22.GCCAAT,6409110,3115181,76.672,64.276
scnomehic,scNH_GM_4plex_20_S19.GCCAAT,9205802,4314637,77.951,65.146
scnomehic,scNH_GM_4plex_1_S1.CGATGT,2198806,1088192,73.619,59.938
scnomehic,scNH_GM_4plex_33_S32.GCCAAT,2094753,1293832,65.533,54.49
scnomehic,scNH_GM_4plex_47_S46.ATCACG,5046646,2591527,77.708,66.648
scnomehic,scNH_GM_4plex_27_S26.ATCACG,3314576,1948522,70.758,60.153
scnomehic,scNH_GM_4plex_42_S41.GCCAAT,5865506,3121681,76.807,66.001
scnomehic,scNH_GM_4plex_36_S35.GCCAAT,5005769,2586798,70.683,57.01
scnomehic,scNH_GM_4plex_43_S42.ATCACG,5056458,2804438,71.728,59.837
scnomehic,scNH_GM_4plex_18_S17.GCCAAT,6794782,3410924,74.96,62.329
scnomehic,scNH_GM_4plex_37_S36.TGACCA,2729475,1581651,69.821,59.038
scnomehic,scNH_GM_4plex_15_S14.TGACCA,6526745,3439650,84.446,77.249
scnomehic,scNH_GM_4plex_20_S19.TGACCA,6434140,2988544,76.785,63.43
scnomehic,scNH_GM_4plex_35_S34.CGATGT,3164386,1614000,72.027,58.711
scnomehic,scNH_GM_4plex_12_S11.TGACCA,10236086,4158128,80.637,67.025
scnomehic,scNH_GM_4plex_29_S28.CGATGT,1565866,994309,66.558,56.509
scnomehic,scNH_GM_4plex_16_S15.ATCACG,4435853,2308144,71.058,57.193
scnomehic,scNH_GM_4plex_43_S42.TGACCA,5005008,2637861,75.418,64.178
scnomehic,scNH_GM_4plex_26_S25.CGATGT,3596506,1789366,74.705,61.967
scnomehic,scNH_GM_4plex_20_S19.ATCACG,6665178,3299372,72.281,58.16
scnomehic,scNH_GM_4plex_25_S24.CGATGT,2878726,1522019,75.504,63.701
scnomehic,scNH_GM_4plex_30_S29.TGACCA,4402110,2290846,77.04,66.309
scnomehic,scNH_GM_4plex_26_S25.ATCACG,4982493,2499347,77.295,65.583
scnomehic,scNH_GM_4plex_13_S12.TGACCA,4632811,2433086,77.856,67.681
scnomehic,scNH_GM_4plex_8_S7.TGACCA,3922177,1998342,70.961,57.35
scnomehic,scNH_GM_4plex_2_S2.CGATGT,3325763,1667047,66.999,50.891
scnomehic,scNH_GM_4plex_48_S47.TGACCA,5459157,2824353,78.513,67.953
scnomehic,scNH_GM_4plex_16_S15.TGACCA,4062570,2026705,73.698,60.322
scnomehic,scNH_GM_4plex_40_S39.CGATGT,6402861,3024988,82.052,71.883
scnomehic,scNH_GM_4plex_32_S31.TGACCA,4199585,2078256,72.153,58.333
scnomehic,scNH_GM_4plex_41_S40.TGACCA,3168065,1735701,70.764,58.724
scnomehic,scNH_GM_4plex_22_S21.GCCAAT,4670117,2437089,71.405,58.316
scnomehic,scNH_GM_4plex_11_S10.CGATGT,3620932,1987193,69.192,57.145
scnomehic,scNH_GM_4plex_13_S12.GCCAAT,5309206,2830717,77.368,67.182
scnomehic,scNH_GM_4plex_27_S26.CGATGT,3392932,1899544,74.021,63.367
scnomehic,scNH_GM_4plex_32_S31.GCCAAT,6375905,3112725,75.377,62.457
scnomehic,scNH_GM_4plex_41_S40.GCCAAT,2973673,1693189,66.355,53.362
scnomehic,scNH_GM_4plex_42_S41.TGACCA,3696431,2021381,71.2,59.148
scnomehic,scNH_GM_4plex_17_S16.ATCACG,3342086,1814971,67.195,52.814
scnomehic,scNH_GM_4plex_33_S32.TGACCA,2563741,1536451,70.657,60.525
scnomehic,scNH_GM_4plex_16_S15.GCCAAT,9262044,4462663,78.763,67.02
scnomehic,scNH_GM_4plex_39_S38.ATCACG,2900966,1677667,71.58,60.613
scnomehic,scNH_GM_4plex_40_S39.GCCAAT,4455464,2281184,71.678,58.273
scnomehic,scNH_GM_4plex_45_S44.GCCAAT,6829378,3439347,75.481,63.315
scnomehic,scNH_GM_4plex_4_S3.CGATGT,3632055,1728252,68.171,51.567
scnomehic,scNH_GM_4plex_9_S8.ATCACG,5738372,2865239,75.668,62.971
scnomehic,scNH_GM_4plex_21_S20.TGACCA,4714248,2313611,69.347,54.522
scnomehic,scNH_GM_4plex_14_S13.GCCAAT,11352669,4444907,75.726,58.918
scnomehic,scNH_GM_4plex_4_S3.TGACCA,5190795,2410497,72.191,56.781
scnomehic,scNH_GM_4plex_13_S12.ATCACG,3375974,1849443,75.398,64.683
scnomehic,scNH_GM_4plex_47_S46.TGACCA,4319281,2201358,74.171,61.889
scnomehic,scNH_GM_4plex_34_S33.TGACCA,3780284,2015593,71.368,59.349
scnomehic,scNH_GM_4plex_45_S44.TGACCA,7132871,3457877,79.645,68.796
scnomehic,scNH_GM_4plex_6_S5.GCCAAT,5334421,2872458,81.211,72.693
scnomehic,scNH_GM_4plex_7_S6.GCCAAT,6370089,2910154,75.943,61.894
scnomehic,scNH_GM_4plex_36_S35.CGATGT,3122426,1634850,66.053,51.355
scnomehic,scNH_GM_4plex_44_S43.TGACCA,2731734,1539834,68.921,56.958
scnomehic,scNH_GM_4plex_27_S26.GCCAAT,3877710,2340029,58.45,47.194
scnomehic,scNH_GM_4plex_20_S19.CGATGT,5260177,2469072,73.782,59.084
scnomehic,scNH_GM_4plex_30_S29.ATCACG,3318555,1838225,68.407,55.665
scnomehic,scNH_GM_4plex_33_S32.ATCACG,3599629,2151542,74.861,65.743
snmCseq2,SRR6911852,1412572,1160582,57.419,59.308
snmCseq2,SRR6911794,2953311,2103373,61.198,62.61
snmCseq2,SRR6911790,3010521,2133323,58.851,60.142
snmCseq2,SRR6911870,696393,578241,60.355,61.403
snmCseq2,SRR6911827,1444703,1178480,55.609,57.234
snmCseq2,SRR6911824,1598510,1256753,59.615,61.302
snmCseq2,SRR6911780,1470879,1216186,52.287,54.168
snmCseq2,SRR6911868,1643297,1343427,59.988,61.913
snmCseq2,SRR6911817,1748697,1323158,60.01,61.51
